공고명,공고시작일,공고종료일,공고등록일,기타유의사항
"공공주택(동탄A86블록, 고덕A9블록, 위례 A2-2블록) 단지 내 상가 분양공고",2020-08-25,2020-12-30,2020-08-25,공란은 데이터 미집계
다산 3차 10년 공공임대아파트 예비입주자 모집 접수마감 및 서류접수 안내,2020-08-20,2020-12-31,2020-08-21,공란은 데이터 미집계
20년 청년 매입임대주택(20.03.27.공고) 당첨자 발표,2020-07-31,2020-07-31,2020-07-31,공란은 데이터 미집계
기존주택매입임대 미임대(2차) 당첨자 발표,2020-07-31,2020-08-31,2020-07-31,공란은 데이터 미집계
‘20년 매입임대주택 미임대 3차 입주자모집 (‘20.7.17.공고)  1순위 접수 마감 결과,2020-07-28,2021-01-28,2020-07-28,공란은 데이터 미집계
매입임대주택 미임대분(3차) 입주자모집,2020-07-17,2021-01-17,2020-07-17,공란은 데이터 미집계
(장기전세)부천약대아이파크 예비입주자모집(7월22일까지 접수),2020-07-10,2021-07-10,2020-07-10,공란은 데이터 미집계
안산시 아동동거가구 매입임대주택 예비입주자 발표(5.15.공고),2020-07-09,2020-10-09,2020-07-09,공란은 데이터 미집계
양평공흥 행복주택 공공임대상가 임차인모집  2차심사결과 안내,2020-06-26,2021-06-25,2020-06-26,공란은 데이터 미집계
"20년 1차 기존주택 매입임대 예비입주자 모집(부천시, 고양시)",2020-06-22,2021-06-22,2020-06-22,공란은 데이터 미집계
아파트 잔여 단지내상가 (다산진건B5블록) 수의계약 공고,2020-06-17,2020-09-16,2020-06-17,공란은 데이터 미집계
‘20년 매입임대주택 미임대 2차 입주자모집 (20.05.22공고) 관련 1순위 접수 마감 결과,2020-06-16,2020-06-16,2020-06-16,공란은 데이터 미집계
청년 사회적주택(부천 괴안동) 입주자 모집공고,2020-06-12,2020-12-12,2020-06-12,공란은 데이터 미집계
2020년 건축전 매입임대주택(수원 창업지원주택) 매입공고,2020-06-12,2020-08-13,2020-06-12,공란은 데이터 미집계
"공공주택 단지내상가 (다산신도시B5블록, 위례신도시 A2-2블록) 개찰결과 게시",2020-06-11,2020-12-30,2020-06-12,공란은 데이터 미집계
양평공흥 경기행복주택 단지 내 상가(공공임대상가) 임차인 모집 1차심사결과 안내,2020-06-10,2020-06-10,2020-06-10,공란은 데이터 미집계
[경기도 내 7개시] 20년 1차 기존주택 매입임대 예비입주자 모집,2020-06-01,2020-06-19,2020-06-01,공란은 데이터 미집계
‘매입임대주택 미임대분 입주자 모집(20.03.27. 공고)’ 당첨자 발표,2020-05-29,2021-05-29,2020-05-29,공란은 데이터 미집계
"공공주택 단지내상가 분양공고(다산신도시B5블록, 위례신도시A2-2블록)",2020-05-26,2020-12-31,2020-05-26,공란은 데이터 미집계
20년도 상반기 청년 매입임대주택 예비입주자 당첨자 발표(‘20.01.17 공고),2020-05-22,2021-05-31,2020-05-22,공란은 데이터 미집계
매입임대주택 미임대분(2차) 입주자모집,2020-05-22,2020-11-22,2020-05-22,공란은 데이터 미집계
양평공흥 경기행복주택 단지 내 상가(공공임대상가) 임차인 모집 공고,2020-05-21,2020-06-03,2020-05-21,공란은 데이터 미집계
안산시 아동동거가구 주거안정을 위한 수요맞춤형 매입임대주택 입주자 모집 (재)공고,2020-05-15,2020-11-15,2020-05-15,공란은 데이터 미집계
2020년 기존주택 매입 공고(2차접수),2020-04-29,2020-05-31,2020-04-29,공란은 데이터 미집계
2020년 건축전 매입임대주택(고양 창업지원주택) 매입공고,2020-04-29,2020-06-30,2020-04-29,공란은 데이터 미집계
수정게시_매입임대주택 미임대분 입주자모집(접수마감),2020-04-13,2020-10-13,2020-04-13,공란은 데이터 미집계
안양도시형생활주택 예비입주자 당첨결과 안내(2019.11.29. 공고),2020-04-10,2021-04-01,2020-04-10,공란은 데이터 미집계
공공주택 단지내 「공공임대상가 임차인선정」심사결과 안내,2020-04-09,2020-12-30,2020-04-09,공란은 데이터 미집계
수정공고_(청년형) 기존주택 매입임대 예비입주자 모집,2020-04-01,2020-05-08,2020-04-01,공란은 데이터 미집계
(수정공고)매입임대주택 미임대분 입주자모집,2020-03-27,2020-04-29,2020-03-27,공란은 데이터 미집계
수요맞춤형(청년근로자) 기존주택 매입임대주택 예비입주자 모집,2020-03-27,2020-04-29,2020-03-27,공란은 데이터 미집계
공공임대상가 임차인모집(재공고) 1차 심사결과 안내,2020-03-25,2020-12-31,2020-03-25,공란은 데이터 미집계
동탄2신도시 A86블록 아파트 단지내상가 개찰결과(20.03.10. 입찰분),2020-03-10,2020-03-31,2020-03-10,공란은 데이터 미집계
(기간연장)수요맞춤형(오산대) 기존주택 매입임대주택 입주자모집 공고,2020-03-02,2020-09-02,2020-03-02,공란은 데이터 미집계
19년 하반기[2차] 매입임대주탁 미임대분 선정자 명단 발표,2020-02-28,2020-03-31,2020-02-28,공란은 데이터 미집계
(수정)안산시 수요맞춤형(아동동거가구) 기존주택매입임대주택 입주자모집 공고,2020-02-25,2020-08-24,2020-02-25,공란은 데이터 미집계
동탄2신도시 A86블록 아파트 단지내상가 분양공고 [동탄 레이크 자연앤 푸르지오],2020-02-20,2020-03-31,2020-02-20,공란은 데이터 미집계
수요맞춤형(안산시 아동동거가구) 기존주택 매입임대주택 입주자모집 공고,2020-02-17,2021-02-16,2020-02-17,공란은 데이터 미집계
수요맞춤형(오산대) 기존주택 매입임대주택 입주자모집 공고,2020-02-13,2021-02-12,2020-02-13,공란은 데이터 미집계
2020년 기존주택 매입 공고(1차접수),2020-01-31,2020-02-14,2020-01-31,공란은 데이터 미집계
2020년 건축전 매입임대주택(수원 창업지원주택) 매입공고,2020-01-21,2020-01-31,2020-01-21,공란은 데이터 미집계
2020년 건축전 매입임대주택(용인 창업지원주택) 매입공고,2020-01-21,2020-01-31,2020-01-21,공란은 데이터 미집계
20년 청년 매입임대주택 예비입주자 모집공고,2020-02-03,2020-02-07,2020-01-17,공란은 데이터 미집계
‘19년 하반기(2차) 매입임대주택 미임대분 입주신청 1순위 마감결과,2020-01-14,2020-01-31,2020-01-14,공란은 데이터 미집계
[수정게시] 19년 하반기(2차) 매입임대주택 입주자모집,2020-01-08,2021-01-08,2020-01-08,공란은 데이터 미집계
(재공고)수원팔달주차타워 근린생활시설(5호) 임차인 모집공고,2020-01-08,2020-01-14,2020-01-08,공란은 데이터 미집계
19년 하반기 (2차) 매입임대주택 미임대분 입주자모집,2019-12-27,2020-01-17,2019-12-27,공란은 데이터 미집계
단지내 공공임대상가 임차인 선정 심사 결과 안내,2019-12-19,2019-12-31,2019-12-19,공란은 데이터 미집계
수원팔달주차타워 근린생활시설(5호) 임차인 모집공고,2019-12-11,2019-12-20,2019-12-11,공란은 데이터 미집계
단지내 공공임대상가  임차인 선정 1차 서류심사 결과 안내,2019-12-05,2019-12-31,2019-12-05,공란은 데이터 미집계
안양도시형생활주택 예비입주자 모집 공고,2019-11-29,2019-12-31,2019-11-29,공란은 데이터 미집계
다산진건 및 평택고덕 공공분양주택 단지내상가 공공임대상가 추가 서류접수,2019-11-27,2019-12-31,2019-11-27,공란은 데이터 미집계
오산시 대학생 맞춤형 매입임대주택 입주자 모집공고,2019-11-26,2019-12-31,2019-11-26,공란은 데이터 미집계
안양 도시형생활주택 예비입주자 당첨자 발표,2019-11-25,2020-11-26,2019-11-25,공란은 데이터 미집계
19년 하반기 매입임대주택 미임대분 최종 선정자 명단 발표,2019-11-22,2019-12-31,2019-11-22,공란은 데이터 미집계
[경기도 내 10개시] 19년 2차 기존주택 매입임대 예비입주자 모집,2019-11-22,2019-12-31,2019-11-22,공란은 데이터 미집계
다산진건 및 평택고덕 공공분양주택 단지내상가 공공임대상가 임차인 모집공고,2019-10-29,2019-11-30,2019-10-29,공란은 데이터 미집계
다산신도시 진건지구 A4블록 단지내상가 개찰결과(19.10.17. 입찰분),2019-10-17,2019-10-31,2019-10-17,공란은 데이터 미집계
다산신도시 진건지구 B5블록 아파트 단지내상가 개찰결과(19.10.17. 입찰분),2019-10-17,2019-10-31,2019-10-17,공란은 데이터 미집계
다산신도시 진건지구 B5블록 단지내상가 분양공고,2019-09-26,2019-10-31,2019-09-26,공란은 데이터 미집계
다산신도시 진건지구 A4블록 단지내상가 분양공고,2019-09-26,2019-10-31,2019-09-26,공란은 데이터 미집계
2019년 건축전매입임대(창업지원주택) 매입공고,2019-09-25,2019-10-31,2019-09-25,공란은 데이터 미집계
19년 하반기매입임대 미임대분 입주자모집(19.09.06 공고분 수정게시),2019-09-06,2020-09-05,2019-09-24,공란은 데이터 미집계
19년 매입형 청년임대주택 예비입주자 결과 발표,2019-08-21,2019-12-31,2019-08-22,공란은 데이터 미집계
시흥시 산단형 매입임대주택 입주자 모집공고,2019-08-14,2019-08-30,2019-08-14,공란은 데이터 미집계
동두천시 산단형 매입임대주택 입주자 모집공고,2019-08-14,2019-08-30,2019-08-14,공란은 데이터 미집계
(정정공지) 다산진건 A4블록 10년공공임대 추첨대상자 및 예비당첨자 발표,2019-08-02,2019-08-31,2019-08-02,공란은 데이터 미집계
안양도시형생활주택 예비입주자 모집공고,2019-08-12,2019-08-23,2019-08-02,공란은 데이터 미집계
2019년 기존주택 매입 변경공고(4차접수),2019-08-01,2019-08-30,2019-07-30,공란은 데이터 미집계
다산진건 A4블록 10년공공임대 잔여세대 입주자모집공고,2019-07-16,2019-07-24,2019-07-16,공란은 데이터 미집계
"다산센트레빌, 지금2힐스테이트 장기전세주택 예비입주자 모집 마감 안내",2019-07-15,2019-11-08,2019-07-15,공란은 데이터 미집계
"다산센트레빌, 지금2힐스테이트 장기전세주택 예비입주자 모집 공고",2019-07-15,2019-07-17,2019-07-05,공란은 데이터 미집계
안양 냉천지구 주거환경개선사업 토지등소유자 분양신청 연장공고,2019-07-04,2019-07-12,2019-07-03,공란은 데이터 미집계
다산신도시 진건지구 A4블록 아파트 단지내상가 개찰결과(19.6.13. 입찰분),2019-06-13,2019-06-30,2019-06-13,공란은 데이터 미집계
평택 고덕신도시 A9블록 아파트 단지내상가 개찰결과(19.6.13. 입찰분),2019-06-13,2019-06-30,2019-06-13,공란은 데이터 미집계
"판교 제2테크노밸리 경기기업성장센터(공공지식산업센터,F1블럭) 지원시설(체육시설) 임대 수의계약 공고",2019-06-10,2019-12-31,2019-06-10,공란은 데이터 미집계
19년 매입형 청년임대주택 예비입주자 추가모집 공고,2019-06-07,2019-06-21,2019-06-07,공란은 데이터 미집계
안양 냉천지구 주거환경개선사업 토지등소유자 분양신청 공고,2019-06-04,2019-07-03,2019-06-03,공란은 데이터 미집계
다산신도시 진건지구 B5블록 단지내상가 개찰결과,2019-05-30,2019-06-05,2019-05-30,공란은 데이터 미집계
다산신도시 진건지구 A4블록 아파트 단지내상가 분양공고[자연앤e편한세상 3차],2019-05-30,2019-06-13,2019-05-30,공란은 데이터 미집계
평택 고덕신도시 A9블록 아파트 단지내상가 분양공고[자연앤자이],2019-05-30,2019-06-13,2019-05-30,공란은 데이터 미집계
다산신도시 진건지구 B5블록 단지내상가 분양공고[자연앤e편한세상2차],2019-05-23,2019-12-31,2019-05-23,공란은 데이터 미집계
"판교 제2테크노밸리 경기기업성장센터(공공지식산업센터,F1블럭) 지원시설(체육시설) 임대 모집공고(재공고)",2019-05-20,2019-06-03,2019-05-20,공란은 데이터 미집계
안양역한양수자인리버파크 및 평촌더샵아이파크 장기전세주택 당첨자 및 예비입주자 발표,2019-05-17,2019-05-31,2019-05-17,공란은 데이터 미집계
[평택시] 기존주택 매입임대 예비입주자 추가모집,2019-05-17,2019-06-07,2019-05-17,공란은 데이터 미집계
[이천시] 기존주택 매입임대 예비입주자 추가모집,2019-05-17,2019-06-07,2019-05-17,공란은 데이터 미집계
[안성시] 기존주택 매입임대 예비입주자 추가모집,2019-05-17,2019-06-07,2019-05-17,공란은 데이터 미집계
[동두천시] 기존주택 매입임대 예비입주자 추가모집,2019-05-17,2019-06-07,2019-05-17,공란은 데이터 미집계
19년 매입형 청년임대주택 예비입주자 모집 공고,2019-04-29,2019-05-03,2019-04-19,공란은 데이터 미집계
"판교 제2테크노밸리 경기기업성장센터(공공지식산업센터,F1블럭) 지원시설(체육시설) 임대 모집공고",2019-04-09,2019-12-31,2019-04-09,공란은 데이터 미집계
수원영통 경기행복주택 자격완화 선착순 모집 공고 안내,2019-04-22,2019-12-31,2019-04-08,공란은 데이터 미집계
"수원광교, 안양관양, 화성진안1·2 경기행복주택 자격완화 선착순 모집 공고 안내",2019-04-15,2019-06-14,2019-04-08,공란은 데이터 미집계
"다산역A2, 가평청사복합, 파주병원복합 경기행복주택 자격완화 추가모집 공고 안내",2019-04-15,2019-04-16,2019-04-08,공란은 데이터 미집계
[경기도 내 10개시] 19년 기존주택 매입임대 예비입주자 모집,2019-04-08,2019-04-12,2019-03-29,공란은 데이터 미집계
"판교 제2테크노밸리 경기기업성장센터(공공지식산업센터,F1블럭) 지원시설(근린생활시설) 임대 수의계약 공고",2019-03-21,2019-03-31,2019-03-19,공란은 데이터 미집계
안양 장기전세주택 서류제출 대상자 발표,2019-03-13,2019-03-15,2019-03-13,공란은 데이터 미집계
안양 장기전세주택 입주자 모집공고(안양역한양수자인리버파크 / 평촌더샵아이파크),2019-03-05,2019-03-08,2019-02-26,공란은 데이터 미집계
안양도시형생활주택 예비입주자 당첨자 발표,2019-02-25,2019-02-28,2019-02-25,공란은 데이터 미집계
"판교 제2테크노밸리 경기기업성장센터(공공지식산업센터, F1블럭) 지원시설(근린생활시설) 임대 추가모집 공고",2019-02-21,2019-02-28,2019-02-21,공란은 데이터 미집계
광명해모로이연 장기전세주택 예비입주자 당첨자 발표,2019-02-15,2020-02-15,2019-02-15,공란은 데이터 미집계
안성공도 국민임대주택 예비입주자 모집 공고,2019-02-15,2019-12-31,2019-02-15,공란은 데이터 미집계
안산고잔 장기전세주택 당첨자 및 예비입주자 발표,2019-01-22,2019-02-28,2019-01-22,공란은 데이터 미집계
"판교 제2테크노밸리 공공지식산업센터(기업성장센터, F1블럭) 지원시설(근린생활시설) 임대 추가모집 공고",2019-01-11,2019-01-31,2019-01-11,공란은 데이터 미집계
18년 하반기 매입임대주택 미임대분 최종 선정자 명단 발표,2019-01-07,2019-03-31,2019-01-07,공란은 데이터 미집계
남양주 도농사랑으로부영7단지 장기전세주택 예비입주자 당첨자 발표,2018-12-28,2019-01-31,2018-12-28,공란은 데이터 미집계
"양평공흥, 가평청사복합, 성남하대원 경기행복주택 예비당첨자 계약안내문",2018-12-20,2018-12-31,2018-12-20,공란은 데이터 미집계
"판교 제2테크노밸리 공공지식산업센터(기업성장센터,F1블럭) 지원시설(근린생활시설) 임대 모집공고 수정공고",2018-12-19,2019-01-31,2018-12-19,공란은 데이터 미집계
청년임대주택 입주예정자 수시모집 마감안내,2018-11-30,2018-12-31,2018-11-30,공란은 데이터 미집계
"판교 제2테크노밸리 공공지식산업센터(기업성장센터, F1블럭) 지원시설(근린생활시설) 임대 모집공고",2018-11-20,2018-12-31,2018-11-20,공란은 데이터 미집계
안산고잔 장기전세주택 서류제출 대상자 발표,2018-11-15,2018-12-31,2018-11-15,공란은 데이터 미집계
2018년 다가구등 기존주택 매입 접수 마감안내,2018-11-15,2018-12-31,2018-11-15,공란은 데이터 미집계
[여주시]기존주택 매입임대 예비입주자 모집,2018-11-09,2018-12-31,2018-11-09,공란은 데이터 미집계
[의정부시] 기존주택 매입임대 예비입주자 모집,2018-11-09,2018-12-31,2018-11-09,공란은 데이터 미집계
[남양주시] 기존주택 매입임대 예비입주자 모집,2018-11-09,2018-12-31,2018-11-09,공란은 데이터 미집계
[화성시] 기존주택 매입임대 예비입주자 모집,2018-11-09,2018-12-31,2018-11-09,공란은 데이터 미집계
18년 하반기 기존주택 매입임대 미임대분 2순위 마감결과,2018-11-08,2018-12-31,2018-11-08,공란은 데이터 미집계
안산고잔 장기전세주택 입주자모집 마감안내,2018-11-08,2018-12-31,2018-11-08,공란은 데이터 미집계
18년 하반기 기존주택 매입임대 미임대분 1순위 마감결과,2018-11-07,2019-01-31,2018-11-07,공란은 데이터 미집계
광명 해모로이연 장기전세주택 예비입주자 1순위 마감 안내,2018-10-29,2018-12-31,2018-10-29,공란은 데이터 미집계
안산 고잔 롯데캐슬 골드파크 장기전세주택 입주자 모집 공고,2018-10-23,2018-12-31,2018-10-23,공란은 데이터 미집계
[경기도 내] 18년 하반기 기존주택 매입임대 미임대분 입주자모집,2018-10-22,2018-12-31,2018-10-22,공란은 데이터 미집계
장기전세주택(광명 해모로이연) 예비입주자 모집공고,2018-10-22,2018-12-31,2018-10-22,공란은 데이터 미집계
안양석수두산위브(장기전세주택) 예비입주자 당첨자 발표,2018-09-28,2018-12-31,2018-09-28,공란은 데이터 미집계
청년매입임대주택 입주예정자 수시모집,2018-09-18,2018-12-31,2018-09-27,공란은 데이터 미집계
남양주 부영7단지 장기전세주택 예비입주자 1순위 마감 안내,2018-09-13,2018-12-31,2018-09-13,공란은 데이터 미집계
안양도시형생활주택 예비입주자 모집 공고,2018-09-10,2018-12-31,2018-09-10,공란은 데이터 미집계
안양도시형생활주택 예비입주자 모집 결과 발표,2018-09-07,2018-12-31,2018-09-06,공란은 데이터 미집계
장기전세주택(남양주 도농사랑으로 부영7단지) 예비입주자 모집공고,2018-09-05,2018-12-31,2018-09-05,공란은 데이터 미집계
18년 상반기 매입임대주택 미임대분 최종 선정자 명단 발표,2018-08-30,2018-12-31,2018-08-30,공란은 데이터 미집계
"청년매입임대 예비입주자모집공고(수원,평택)",2018-08-24,2019-08-23,2018-08-24,공란은 데이터 미집계
"다산신도시 진건지구 S1블록, B4블록 단지내상가 분양공고",2018-08-23,2018-12-31,2018-08-23,공란은 데이터 미집계
[이천시]기존주택 매입임대 예비입주자 추가모집,2018-07-31,2018-12-31,2018-07-31,공란은 데이터 미집계
[안성시]기존주택 매입임대 예비입주자 추가모집,2018-07-31,2018-12-31,2018-07-31,공란은 데이터 미집계
[양주시]기존주택 매입임대 예비입주자 추가모집,2018-07-31,2018-12-31,2018-07-31,공란은 데이터 미집계
고양동주택 청년매입임대 예비입주자모집공고,2018-07-13,2018-12-31,2018-07-20,공란은 데이터 미집계
2018년 다가구등 기존주택 매입 변경공고(2차),2018-07-16,2018-07-16,2018-07-16,공란은 데이터 미집계
18년 상반기 기존주택 매입임대 미임대분 1순위 마감결과,2018-07-10,2018-12-31,2018-07-10,공란은 데이터 미집계
[경기도 내] 18년 상반기 기존주택 매입임대 미임대분 입주자모집,2018-06-25,2018-12-31,2018-06-25,공란은 데이터 미집계
분양정보 알리미(SMS) 서비스 변경사항 안내,2018-06-18,2018-12-31,2018-06-18,공란은 데이터 미집계
"(사업대상 노후주택의 매입이 완료되어 더이상 추가모집을 하지 않습니다)노후 단독, 다가구주택 등 매입공고 ",2018-05-31,2018-12-31,2018-05-31,공란은 데이터 미집계
"다산신도시 진건지구 S1블록, B4블록 단지내상가 개찰결과",2018-05-24,2018-12-31,2018-05-24,공란은 데이터 미집계
청년매입임대 예비입주자 모집공고,2018-05-14,2018-12-31,2018-05-14,공란은 데이터 미집계
대학생 공유기숙사 공급중지 안내,2018-05-14,2018-12-31,2018-05-14,공란은 데이터 미집계
다산진건 B-2블록 및 B-4블록 공공임대상가 임차인 선정공고,2018-05-10,2018-12-31,2018-05-10,공란은 데이터 미집계
광교신도시 도시지원 주차장용지 공급 공고,2018-05-09,2018-12-31,2018-05-09,공란은 데이터 미집계
다산신도시(진건) 주유소용지 수의계약 알림,2018-04-24,2018-12-31,2018-04-24,공란은 데이터 미집계
사회적기업 및 청년창업기업 대상 공공분양주택 단지내상가 공공임대 임차인 모집공고,2018-03-30,2018-12-31,2018-04-02,공란은 데이터 미집계
[이천시]기존주택 매입임대 예비입주자 모집,2018-03-30,2018-12-31,2018-03-30,공란은 데이터 미집계
[동두천시]기존주택 매입임대 예비입주자 모집,2018-03-30,2018-12-31,2018-03-30,공란은 데이터 미집계
[파주시]기존주택 매입임대 예비입주자 모집,2018-03-30,2018-12-31,2018-03-30,공란은 데이터 미집계
[의정부시]기존주택 매입임대 예비입주자 모집,2018-03-30,2018-12-31,2018-03-30,공란은 데이터 미집계
[남양주시]기존주택 매입임대 예비입주자 모집,2018-03-30,2018-12-31,2018-03-30,공란은 데이터 미집계
안양도시형생활주택 예비입주자 모집 공고,2018-03-20,2018-12-31,2018-03-20,공란은 데이터 미집계
다산신도시 상업용지/주유소용지 개찰 결과 (2018.2.28 공고분),2018-03-14,2018-12-31,2018-03-14,공란은 데이터 미집계
다산신도시 근린생활시설 공급관련 팜플렛,2018-03-08,2018-12-31,2018-03-08,공란은 데이터 미집계
다산신도시 근린생활시설 공급 공고,2018-03-08,2018-12-31,2018-03-08,공란은 데이터 미집계
안양도시형생활주택 예비입주자모집(2차)결과 발표,2018-02-28,2018-03-29,2018-02-28,공란은 데이터 미집계
시흥시 산업단지 청년근로자를 위한 매입임대[산단형] 입주자 모집 공고,2018-02-28,2024-12-31,2018-02-28,공란은 데이터 미집계
"경기도시공사 부천백동kcc, 부천약대아이파크 장기전세주택 예비입주자모집 공고",2018-02-07,2018-12-31,2018-02-07,공란은 데이터 미집계
다산신도시 B-4블록 아파트 단지내상가 개찰결과(‘18.1.11.공고분),2018-01-25,2018-12-31,2018-01-25,공란은 데이터 미집계
대학생 공유기숙사 예비입주자 모집공고,2018-01-23,2018-12-31,2018-01-23,공란은 데이터 미집계
2018년 다가구등 기존주택 매입공고,2018-01-19,2018-12-31,2018-01-19,공란은 데이터 미집계
과천지식정보타운 지식기반산업용지 사업계획서 평가위원 후보명단 공개,2018-01-12,2018-12-31,2018-01-12,공란은 데이터 미집계
다가구 등 장기미임대 매입임대주택 입주대상자 2순위 마감결과,2018-01-12,2018-12-31,2018-01-12,공란은 데이터 미집계
다산신도시 B-4블록 아파트 단지내상가 분양 공고 (B4블록 자연앤e편한세상),2018-01-11,2018-12-31,2018-01-11,공란은 데이터 미집계
[수정공고]판교 제2테크노밸리 산업시설용지 등 분양(처분) 공고,2018-01-10,2018-12-31,2018-01-10,공란은 데이터 미집계
다가구 등 장기미임대 매입임대주택 입주대상자 1순위 마감결과,2018-01-10,2018-12-31,2018-01-10,공란은 데이터 미집계
경기도 대학생 공유기숙사 예비입주자모집공고,2018-01-03,2018-12-31,2018-01-03,공란은 데이터 미집계
다가구 등 장기미임대 매입임대주택 입주대상자 모집,2017-12-29,2017-12-31,2017-12-29,공란은 데이터 미집계
판교 제2테크노밸리 용지분양(처분) 공고,2017-12-27,2027-12-27,2017-12-27,공란은 데이터 미집계
고양관광문화단지 생활대책 2차 공급 공고(권리상실자 수의계약 공고),2017-12-22,2017-12-31,2017-12-22,공란은 데이터 미집계
김포한강신도시 자연엔이편한세상3단지 84 B형 및 D형예비입주자 당첨자 발표,2017-12-08,2017-12-31,2017-12-08,공란은 데이터 미집계
"다산신도시 B-2, B-4블록 아파트 단지내상가 분양공고 추가안내",2017-12-06,2017-12-31,2017-12-06,공란은 데이터 미집계
"다산신도시 B2, B4블록 단지 내 상가 입찰설명회 안내",2017-11-30,2017-12-31,2017-11-30,공란은 데이터 미집계
"다산신도시 B-2, B-4블록 아파트 단지내상가 분양 공고(B2블록 자연앤롯데캐슬 l B4블록 자연앤e편한세상)",2017-11-23,2017-12-31,2017-11-23,공란은 데이터 미집계
[오산시]기존주택 매입임대 예비입주자 모집,2017-10-20,2017-12-31,2017-10-20,공란은 데이터 미집계
[용인시]기존주택 매입임대 예비입주자 모집,2017-10-20,2017-12-24,2017-10-20,공란은 데이터 미집계
[광주시]기존주택 매입임대 예비입주자 모집,2017-10-20,2017-12-31,2017-10-20,공란은 데이터 미집계
[부천시]기존주택 매입임대 예비입주자 모집,2017-10-20,2017-12-31,2017-10-20,공란은 데이터 미집계
[안산시]기존주택 매입임대 예비입주자 모집,2017-10-20,2017-12-31,2017-10-20,공란은 데이터 미집계
시흥 청년 매입임대주택 최종 입주대상자 발표,2017-09-15,2017-12-31,2017-09-15,공란은 데이터 미집계
2017년 다가구등 기존주택 매입 변경공고(3차),2017-09-15,2017-12-31,2017-09-15,공란은 데이터 미집계
[남양주시]기존주택 매입임대 예비입주자 모집,2017-09-13,2017-12-31,2017-09-13,공란은 데이터 미집계
[의정부시]기존주택 매입임대 예비입주자 모집,2017-09-13,2017-12-31,2017-09-13,공란은 데이터 미집계
[파주시]기존주택 매입임대 예비입주자 모집,2017-09-13,2017-12-31,2017-09-13,공란은 데이터 미집계
[동두천시]기존주택 매입임대 예비입주자 모집,2017-09-13,2017-12-31,2017-09-13,공란은 데이터 미집계
안성공도 국민임대주택 예비입주자 모집,2017-09-08,2017-12-31,2017-09-08,공란은 데이터 미집계
2017년 다가구등 기존주택 매입 변경공고(2차),2017-07-26,2017-12-31,2017-07-27,공란은 데이터 미집계
시흥 따복 쉐어 청년주택(맞춤형 매입) 예비입주자 모집,2017-07-21,2017-08-04,2017-07-21,공란은 데이터 미집계
남양주 도농사랑으로부영7단지 장기전세주택 입주자모집 마감안내,2017-07-17,2017-11-10,2017-07-17,공란은 데이터 미집계
안양도시형생활주택 예비입주자 모집공고(2017년 1차),2017-07-12,2017-08-31,2017-07-12,공란은 데이터 미집계
남양주 도농사랑으로부영7단지 장기전세주택 입주자모집공고,2017-07-07,2017-12-31,2017-07-07,공란은 데이터 미집계
[파주시]기존주택 매입임대 예비입주자 모집,2017-06-30,2017-11-30,2017-06-30,공란은 데이터 미집계
[파주시]기존주택 매입임대 예비입주자 모집,2017-06-14,2017-12-31,2017-06-14,공란은 데이터 미집계
[이천시]기존주택 매입임대 예비입주자 추가모집,2017-06-02,2017-12-31,2017-06-02,공란은 데이터 미집계
[가평군]기존주택 매입임대 예비입주자 모집,2017-05-11,2017-12-31,2017-05-11,공란은 데이터 미집계
[동두천시]기존주택 매입임대 예비입주자 모집,2017-05-11,2017-12-31,2017-05-11,공란은 데이터 미집계
[남양주시]기존주택 매입임대 예비입주자 모집,2017-05-11,2017-12-31,2017-05-11,공란은 데이터 미집계
[이천시]기존주택 매입임대 예비입주자 모집,2017-04-28,2017-12-31,2017-04-28,공란은 데이터 미집계
[평택시]기존주택 매입임대 예비입주자 모집,2017-04-28,2017-12-31,2017-04-28,공란은 데이터 미집계
[안산시]기존주택 매입임대 예비입주자 모집,2017-04-28,2017-12-31,2017-04-28,공란은 데이터 미집계
가평달전 도시개발사업(3단계) 단독주택용지 공급공고(변경) 안내,2017-04-26,2017-12-31,2017-04-26,공란은 데이터 미집계
가평달전 도시개발사업(3단계) 단독주택 공급공고,2017-02-22,2017-12-31,2017-02-22,공란은 데이터 미집계
[양주시]기존주택 매입임대 예비입주자 모집,2016-12-27,2017-12-31,2016-12-27,공란은 데이터 미집계
[수원시]기존주택 매입임대 예비입주자 모집,2016-12-27,2017-12-31,2016-12-27,공란은 데이터 미집계
[여주시]기존주택 매입임대 예비입주자 추가모집,2016-12-12,2017-12-31,2016-12-12,공란은 데이터 미집계
[여주시]기존주택 매입임대 예비입주자 모집,2016-11-15,2016-12-31,2016-11-15,공란은 데이터 미집계
[오산시]기존주택 매입임대 예비입주자 모집,2016-11-15,2016-12-31,2016-11-15,공란은 데이터 미집계
"고양관광문화단지 업무, 주차장 용지 공급공고(정정공고)",2016-11-01,2016-12-31,2016-11-01,공란은 데이터 미집계
"고양관광문화단지 업무, 주차장 용지 공급공고문",2016-10-26,2016-12-31,2016-10-26,공란은 데이터 미집계
[가평군]기존주택 매입임대 예비입주자 모집,2016-10-17,2016-12-31,2016-10-17,공란은 데이터 미집계
연인산 집단시설지구 상업 및 숙박시설 용지 수의계약 개시 안내,2016-10-07,2016-12-31,2016-10-07,공란은 데이터 미집계
[파주시]기존주택 매입임대 예비입주자 모집,2016-09-26,2016-12-31,2016-09-26,공란은 데이터 미집계
